student_id,name,class,comprehension,attention,focus,retention,assessment_score,engagement_time,persona
151,Miranda Torres,A,71,95,61,70,76,80,Independent Learner
152,Jeremy Nichols,B,85,91,97,80,89,119,Active but Forgetful
153,Joseph Martin,B,42,32,89,46,55,105,Active but Forgetful
154,Kyle Warner,C,52,51,49,52,58,91,Engaged Achiever
155,Amanda Johnson DDS,C,44,45,62,83,49,11,Needs Guidance
156,Jennifer Mitchell,C,59,80,43,72,62,98,Active but Forgetful
157,Brittany Delgado,C,94,90,48,62,73,100,Engaged Achiever
158,Rodney Kelly,C,52,85,89,55,72,109,Active but Forgetful
159,Patricia Bauer MD,A,88,35,73,69,73,115,Engaged Achiever
160,Sean Gates,B,77,63,65,59,72,114,Engaged Achiever
161,Caitlin Williams,A,57,44,84,93,63,31,Needs Guidance
162,Anne Mendoza,A,79,68,56,42,64,97,Engaged Achiever
163,Jeffrey Wells,C,67,95,66,60,65,72,Active but Forgetful
164,Mrs. Stephanie Shaw,B,83,85,76,52,70,52,Engaged Achiever
165,Benjamin Moore,A,80,78,79,79,78,38,Independent Learner
166,John Jackson,B,100,36,43,40,58,82,Engaged Achiever
167,Jeffrey Kirk,C,52,71,43,92,62,25,Needs Guidance
168,Jessica Allen,A,58,50,89,55,58,87,Active but Forgetful
169,Stephanie Gonzales,A,56,54,53,84,59,19,Needs Guidance
170,Kristin Boyd,D,48,48,91,71,70,117,Active but Forgetful
171,Emma Paul,A,40,64,69,99,63,18,Needs Guidance
172,Bridget Johnson,C,85,91,90,97,91,96,Independent Learner
173,Thomas Palmer,D,100,32,43,57,61,40,Engaged Achiever
174,Gabrielle Herrera,D,97,98,89,80,85,39,Independent Learner
175,Matthew Lopez,A,82,70,96,41,72,111,Active but Forgetful
176,Meghan Robinson,A,69,64,53,46,57,33,Engaged Achiever
177,Erik Fisher,C,48,61,69,74,59,45,Needs Guidance
178,Melinda Sutton,C,80,91,48,94,71,47,Independent Learner
179,Jasmine Pugh,A,46,88,69,94,66,22,Independent Learner
180,Catherine Perry,B,52,68,99,48,68,85,Active but Forgetful
181,Daniel Lloyd,D,95,67,90,91,78,57,Independent Learner
182,Paula Jimenez,A,88,50,48,48,58,22,Engaged Achiever
183,Christina Buck,B,59,90,45,61,65,81,Active but Forgetful
184,Rachel Williams,D,90,97,97,68,90,117,Active but Forgetful
185,Eric Gonzalez,A,55,52,70,82,67,98,Active but Forgetful
186,Brandon Ellis,D,96,84,74,87,77,13,Independent Learner
187,Travis Sullivan,C,86,84,44,86,76,51,Independent Learner
188,Mrs. Latasha Marshall,A,84,86,40,98,80,83,Independent Learner
189,Matthew Wise,D,83,82,35,59,66,52,Engaged Achiever
190,Richard Zuniga,C,42,39,40,50,48,93,Engaged Achiever
191,Joseph Mcmillan,A,81,33,48,70,65,116,Engaged Achiever
192,Jason Allen,C,69,47,58,69,60,28,Needs Guidance
193,Mrs. Lorraine Faulkner MD,D,86,77,38,95,75,39,Independent Learner
194,Roger Jones,C,65,87,82,71,68,71,Active but Forgetful
195,Rachael Dean,B,92,85,39,48,64,71,Engaged Achiever
196,Dr. Jessica Bailey,A,81,48,70,90,68,60,Needs Guidance
197,Margaret Cruz,A,93,89,65,96,82,41,Independent Learner
198,Adam Mayer,A,77,58,57,59,68,103,Engaged Achiever
199,Russell Barrera,D,87,77,60,41,68,88,Engaged Achiever
200,Anthony Powers,C,65,81,97,83,75,102,Active but Forgetful
